 id  |          name           | gender | height 
 116 | Jóna Geirsdóttir        | F      |   1.71
 117 | Jón Rúnarsson           | M      |   1.75
 118 | Gréta Jónsdóttir        | F      |   1.73
 119 | Friðgeir Sunnevuson     | M      |   1.73
 121 | Kristján Gunnarsson     | M      |   1.81
 122 | Angela Rúnarsdóttir     | F      |   1.71
 123 | Gunnar Kristjánsson     | M      |   1.78
 125 | Gunnar Hulduson         | M      |    1.8
 127 | Gunnar Ármannsson       | M      |   1.85
 129 | Kristján Ármannsson     | M      |   1.89
 130 | Angela Elvudóttir       | F      |   1.77
 131 | Ármann Gunnarsson       | M      |   1.88
 132 | Hulda Björnsdóttir      | F      |   1.74
 133 | Björgvin Geirsson       | M      |   1.82
 134 | Lovísa Benediktsdóttir  | F      |   1.73
 135 | Rúnar Sunnevuson        | M      |   1.75
 136 | Lovísa Gunnarsdóttir    | F      |   1.74
 137 | Geir Friðgeirsson       | M      |   1.86
 138 | Hulda Friðgeirsdóttir   | F      |   1.74
 139 | Geir Jónsson            | M      |   1.75
 140 | Ása Geirsdóttir         | F      |   1.75
 141 | Benedikt Jónsson        | M      |   1.71
 142 | Hulda Kristjánsdóttir   | F      |   1.77
 143 | Geir Björgvinsson       | M      |   1.81
 145 | Björn Björnsson         | M      |   1.77
 147 | Björgvin Friðgeirsson   | M      |   1.75
 148 | Jóna Sunnevudóttir      | F      |   1.79
 149 | Jón Geirsson            | M      |   1.82
 150 | Gréta Kristjánsdóttir   | F      |   1.79
 151 | Kristján Björnsson      | M      |   1.87
 153 | Jón Sunnevuson          | M      |   1.78
 155 | Gunnar Friðgeirsson     | M      |   1.73
 156 | Elva Friðgeirsdóttir    | F      |   1.77
 157 | Geir Ármannsson         | M      |   1.81
 159 | Björn Ármannsson        | M      |   1.86
 163 | Björn Rúnarsson         | M      |   1.81
 165 | Björn Kristjánsson      | M      |    1.8
 167 | Jón Grétuson            | M      |   1.89
 168 | Angela Geirsdóttir      | F      |   1.76
 169 | Friðgeir Geirsson       | M      |   1.88
 170 | Ása Geirsdóttir         | F      |   1.71
 171 | Kristján Jónsson        | M      |   1.89
 173 | Geir Friðgeirsson       | M      |   1.83
 175 | Jón Kristjánsson        | M      |   1.86
 176 | Jóna Friðgeirsdóttir    | F      |   1.76
 177 | Benedikt Benediktsson   | M      |   1.89
 178 | Elva Gunnarsdóttir      | F      |   1.79
 179 | Geir Friðgeirsson       | M      |   1.73
 180 | Sunneva Jónudóttir      | F      |   1.77
 181 | Gunnar Rúnarsson        | M      |   1.76
 183 | Björgvin Björgvinsson   | M      |   1.75
 185 | Benedikt Rúnarsson      | M      |   1.89
 186 | Angela Gunnarsdóttir    | F      |   1.73
 187 | Geir Geirsson           | M      |   1.74
 188 | Eva Ásudóttir           | F      |   1.76
 189 | Kristján Rúnarsson      | M      |    1.8
 191 | Björgvin Friðgeirsson   | M      |   1.81
 193 | Benedikt Benediktsson   | M      |   1.72
 194 | Hulda Geirsdóttir       | F      |   1.79
 195 | Gunnar Björnsson        | M      |   1.77
 196 | Hulda Benediktsdóttir   | F      |   1.75
 197 | Friðgeir Benediktsson   | M      |   1.85
 198 | Ása Benediktsdóttir     | F      |   1.78
 199 | Ármann Gunnarsson       | M      |   1.86
(153 rows)

 id  |          name           | gender | height 
-----+-------------------------+--------+--------
 120 | Sunneva Björnsdóttir    | F      |   1.61
 181 | Gunnar Rúnarsson        | M      |   1.76
 168 | Angela Geirsdóttir      | F      |   1.76
 169 | Friðgeir Geirsson       | M      |   1.88
 197 | Friðgeir Benediktsson   | M      |   1.85
  32 | Lovísa Sunnevudóttir    | F      |   1.73
 195 | Gunnar Björnsson        | M      |   1.77
  14 | Ása Evudóttir           | F      |   1.65
  33 | Geir Rúnarsson          | M      |   1.78
 164 | Lovísa Kristjánsdóttir  | F      |   1.66
 138 | Hulda Friðgeirsdóttir   | F      |   1.74
 124 | Hulda Elvudóttir        | F      |   1.61
  93 | Björn Benediktsson      | M      |   1.84
 166 | Hulda Geirsdóttir       | F      |   1.62
 122 | Angela Rúnarsdóttir     | F      |   1.71
 173 | Geir Friðgeirsson       | M      |   1.83
  45 | Kristján Benediktsson   | M      |   1.75
  50 | Eva Björgvinsdóttir     | F      |   1.79
 196 | Hulda Benediktsdóttir   | F      |   1.75
  85 | Gunnar Jónsson          | M      |   1.87
  91 | Kristján Benediktsson   | M      |   1.89
 190 | Lovísa Kristjánsdóttir  | F      |   1.66
 154 | Gréta Elvudóttir        | F      |   1.61
 180 | Sunneva Jónudóttir      | F      |   1.77
  23 | Ármann Ármannsson       | M      |   1.77
  44 | Sunneva Benediktsdóttir | F      |   1.66
  83 | Friðgeir Gunnarsson     | M      |   1.78
   1 | Björn Geirsson          | M      |   1.71
  16 | Ása Jónsdóttir          | F      |    1.7
  51 | Björgvin Friðgeirsson   | M      |   1.85
  58 | Jóna Jónsdóttir         | F      |   1.72
  74 | Jóna Benediktsdóttir    | F      |   1.78
  95 | Ármann Rúnarsson        | M      |   1.77
 143 | Geir Björgvinsson       | M      |   1.81
 178 | Elva Gunnarsdóttir      | F      |   1.79
  54 | Hulda Kristjánsdóttir   | F      |   1.79
  94 | Gréta Kristjánsdóttir   | F      |   1.67
   3 | Benedikt Helguson       | M      |   1.88
 126 | Ása Kristjánsdóttir     | F      |   1.64
  72 | Gréta Huldudóttir       | F      |   1.76
  86 | Sunneva Kristjánsdóttir | F      |   1.74
 177 | Benedikt Benediktsson   | M      |   1.89
  63 | Geir Hulduson           | M      |   1.71
 127 | Gunnar Ármannsson       | M      |   1.85
  38 | Elva Gunnarsdóttir      | F      |   1.64
 179 | Geir Friðgeirsson       | M      |   1.73
 109 | Kristján Geirsson       | M      |   1.75
 108 | Ása Rúnarsdóttir        | F      |   1.63
 172 | Hulda Benediktsdóttir   | F      |   1.64
 119 | Friðgeir Sunnevuson     | M      |   1.73
  48 | Gréta Kristjánsdóttir   | F      |   1.62
 184 | Elva Friðgeirsdóttir    | F      |    1.7
  20 | Angela Friðgeirsdóttir  | F      |   1.68
  64 | Gréta Friðgeirsdóttir   | F      |   1.64
 142 | Hulda Kristjánsdóttir   | F      |   1.77
 152 | Eva Benediktsdóttir     | F      |   1.66
 150 | Gréta Kristjánsdóttir   | F      |   1.79
  61 | Kristján Björnsson      | M      |   1.85
 161 | Geir Gunnarsson         | M      |    1.7
 189 | Kristján Rúnarsson      | M      |    1.8
 193 | Benedikt Benediktsson   | M      |   1.72
  31 | Gunnar Jónsson          | M      |   1.81
   0 | Sunneva Björnsdóttir    | F      |   1.71
 167 | Jón Grétuson            | M      |   1.89
  88 | Eva Geirsdóttir         | F      |   1.61
 110 | Sunneva Geirsdóttir     | F      |   1.66
 125 | Gunnar Hulduson         | M      |    1.8
 162 | Elva Gunnarsdóttir      | F      |   1.69
  90 | Angela Friðgeirsdóttir  | F      |   1.79
 191 | Björgvin Friðgeirsson   | M      |   1.81
 123 | Gunnar Kristjánsson     | M      |   1.78
 171 | Kristján Jónsson        | M      |   1.89
  19 | Ármann Geirsson         | M      |   1.88
 111 | Geir Jónsson            | M      |   1.85
 129 | Kristján Ármannsson     | M      |   1.89
 141 | Benedikt Jónsson        | M      |   1.71
 165 | Björn Kristjánsson      | M      |    1.8
  28 | Jóna Björgvinsdóttir    | F      |   1.65
 105 | Rúnar Björnsson         | M      |   1.71
 112 | Sunneva Friðgeirsdóttir | F      |   1.73
  89 | Ármann Geirsson         | M      |   1.84
 146 | Sunneva Björnsdóttir    | F      |    1.7
   8 | Helga Björnsdóttir      | F      |   1.63
 153 | Jón Sunnevuson          | M      |   1.78
 135 | Rúnar Sunnevuson        | M      |   1.75
   6 | Angela Björgvinsdóttir  | F      |   1.64
  82 | Jóna Benediktsdóttir    | F      |   1.73
 121 | Kristján Gunnarsson     | M      |   1.81
 144 | Jóna Rúnarsdóttir       | F      |   1.68
  37 | Friðgeir Rúnarsson      | M      |   1.74
 158 | Sunneva Jónsdóttir      | F      |   1.61
 136 | Lovísa Gunnarsdóttir    | F      |   1.74
 100 | Hulda Jónsdóttir        | F      |   1.75
 188 | Eva Ásudóttir           | F      |   1.76
  43 | Rúnar Björgvinsson      | M      |   1.88
  77 | Ármann Rúnarsson        | M      |   1.78
  13 | Björgvin Björnsson      | M      |   1.82
  36 | Hulda Jónsdóttir        | F      |   1.73
 194 | Hulda Geirsdóttir       | F      |   1.79
  15 | Rúnar Geirsson          | M      |   1.71
   2 | Lovísa Helgudóttir      | F      |   1.64
  30 | Gréta Rúnarsdóttir      | F      |   1.73
  55 | Jón Kristjánsson        | M      |   1.79
  81 | Friðgeir Friðgeirsson   | M      |   1.75
  98 | Sunneva Gunnarsdóttir   | F      |   1.63
  42 | Jóna Benediktsdóttir    | F      |   1.62
   4 | Hulda Evudóttir         | F      |   1.77
  68 | Ása Björgvinsdóttir     | F      |   1.71
  34 | Sunneva Björgvinsdóttir | F      |   1.72
  25 | Björn Björnsson         | M      |   1.84
 132 | Hulda Björnsdóttir      | F      |   1.74
  40 | Angela Gunnarsdóttir    | F      |   1.72
 101 | Ármann Geirsson         | M      |   1.77
  41 | Jón Ármannsson          | M      |   1.78
 182 | Lovísa Evudóttir        | F      |    1.6
 185 | Benedikt Rúnarsson      | M      |   1.89
  79 | Björn Björnsson         | M      |   1.82
  24 | Hulda Kristjánsdóttir   | F      |   1.71
 117 | Jón Rúnarsson           | M      |   1.75
  18 | Eva Gunnarsdóttir       | F      |   1.61
  92 | Gréta Elvudóttir        | F      |   1.76
 115 | Björgvin Rúnarsson      | M      |   1.73
  27 | Friðgeir Gunnarsson     | M      |   1.87
  35 | Björn Björnsson         | M      |   1.88
 163 | Björn Rúnarsson         | M      |   1.81
 183 | Björgvin Björgvinsson   | M      |   1.75
  17 | Rúnar Rúnarsson         | M      |   1.85
 147 | Björgvin Friðgeirsson   | M      |   1.75
  29 | Gunnar Benediktsson     | M      |   1.83
   9 | Gunnar Benediktsson     | M      |   1.89
  73 | Björn Rúnarsson         | M      |   1.88
  97 | Geir Gunnarsson         | M      |   1.83
 151 | Kristján Björnsson      | M      |   1.87
 130 | Angela Elvudóttir       | F      |   1.77
  39 | Björn Lovísuson         | M      |   1.85
 106 | Lovísa Kristjánsdóttir  | F      |   1.62
  59 | Benedikt Benediktsson   | M      |   1.81
  66 | Sunneva Friðgeirsdóttir | F      |   1.72
  22 | Jóna Björnsdóttir       | F      |   1.69
 102 | Ása Friðgeirsdóttir     | F      |   1.77
   7 | Geir Benediktsson       | M      |   1.89
  67 | Björn Angeluson         | M      |   1.84
  60 | Elva Kristjánsdóttir    | F      |   1.64
 198 | Ása Benediktsdóttir     | F      |   1.78
  12 | Elva Rúnarsdóttir       | F      |   1.67
 104 | Elva Benediktsdóttir    | F      |   1.78
  71 | Geir Björnsson          | M      |   1.72
  46 | Helga Ármannsdóttir     | F      |   1.61
   5 | Björn Jónuson           | M      |   1.73
  80 | Gréta Rúnarsdóttir      | F      |   1.63
  76 | Helga Björgvinsdóttir   | F      |   1.73
 128 | Jóna Angeludóttir       | F      |   1.69
  75 | Björn Geirsson          | M      |   1.84
  26 | Lovísa Benediktsdóttir  | F      |   1.72
 137 | Geir Friðgeirsson       | M      |   1.86
  87 | Benedikt Ármannsson     | M      |   1.88
 175 | Jón Kristjánsson        | M      |   1.86
 192 | Lovísa Geirsdóttir      | F      |   1.66
 114 | Sunneva Helgudóttir     | F      |   1.77
 148 | Jóna Sunnevudóttir      | F      |   1.79
  52 | Ása Friðgeirsdóttir     | F      |   1.75
  78 | Ása Evudóttir           | F      |   1.73
 140 | Ása Geirsdóttir         | F      |   1.75
 187 | Geir Geirsson           | M      |   1.74
 103 | Friðgeir Friðgeirsson   | M      |   1.89
 149 | Jón Geirsson            | M      |   1.82
  57 | Rúnar Kristjánsson      | M      |   1.76
 145 | Björn Björnsson         | M      |   1.77
 118 | Gréta Jónsdóttir        | F      |   1.73
 156 | Elva Friðgeirsdóttir    | F      |   1.77
  99 | Rúnar Kristjánsson      | M      |   1.71
  65 | Rúnar Benediktsson      | M      |   1.71
  47 | Geir Grétuson           | M      |   1.88
  70 | Hulda Geirsdóttir       | F      |   1.72
 113 | Björgvin Jónsson        | M      |   1.86
  53 | Geir Kristjánsson       | M      |   1.73
 170 | Ása Geirsdóttir         | F      |   1.71
 176 | Jóna Friðgeirsdóttir    | F      |   1.76
 160 | Sunneva Ármannsdóttir   | F      |   1.65
 157 | Geir Ármannsson         | M      |   1.81
  21 | Geir Kristjánsson       | M      |   1.73
 133 | Björgvin Geirsson       | M      |   1.82
 139 | Geir Jónsson            | M      |   1.75
 199 | Ármann Gunnarsson       | M      |   1.86
  62 | Ása Geirsdóttir         | F      |   1.76
  11 | Kristján Evuson         | M      |   1.84
  10 | Hulda Björgvinsdóttir   | F      |   1.72
  69 | Björn Friðgeirsson      | M      |   1.71
 116 | Jóna Geirsdóttir        | F      |   1.71
 131 | Ármann Gunnarsson       | M      |   1.88
  56 | Lovísa Benediktsdóttir  | F      |   1.69
 107 | Geir Hulduson           | M      |   1.87
  49 | Björgvin Ármannsson     | M      |   1.72
 134 | Lovísa Benediktsdóttir  | F      |   1.73
 159 | Björn Ármannsson        | M      |   1.86
 186 | Angela Gunnarsdóttir    | F      |   1.73
  96 | Helga Friðgeirsdóttir   | F      |    1.6
 174 | Helga Björnsdóttir      | F      |    1.6
 155 | Gunnar Friðgeirsson     | M      |   1.73
  84 | Helga Elvudóttir        | F      |   1.68
(200 rows)

          name           | description | height | result |    name     
-------------------------+-------------+--------+--------+-------------
 Ása Evudóttir           | Female      |   1.73 |   6.78 | Long Jump
 Björn Björnsson         | Male        |   1.84 |   6.78 | Long Jump
 Jóna Benediktsdóttir    | Female      |   1.73 |   1.43 | High Jump
 Ása Björgvinsdóttir     | Female      |   1.71 |  10.35 | Triple Jump
 Björgvin Geirsson       | Male        |   1.82 |   8.33 | 100 m dash
 Benedikt Ármannsson     | Male        |   1.88 |  12.41 | Triple Jump
 Björn Ármannsson        | Male        |   1.86 |   4.08 | Long Jump
 Geir Gunnarsson         | Male        |   1.83 |   1.31 | High Jump
 Gunnar Jónsson          | Male        |   1.81 |   6.31 | 100 m dash
 Hulda Geirsdóttir       | Female      |   1.72 |   1.16 | High Jump
 Geir Rúnarsson          | Male        |   1.78 |  12.22 | Triple Jump
 Friðgeir Sunnevuson     | Male        |   1.73 |  15.67 | Shot Put
 Elva Rúnarsdóttir       | Female      |   1.67 |   6.57 | Long Jump
 Gréta Huldudóttir       | Female      |   1.76 |   7.68 | 100 m dash
 Gunnar Kristjánsson     | Male        |   1.78 |  15.96 | Shot Put
 Kristján Evuson         | Male        |   1.84 |   9.52 | 100 m dash
 Kristján Evuson         | Male        |   1.84 |   1.16 | High Jump
 Sunneva Björnsdóttir    | Female      |   1.61 |    4.5 | Long Jump
 Björn Rúnarsson         | Male        |   1.81 |  15.65 | Shot Put
 Ármann Geirsson         | Male        |   1.84 |   1.84 | High Jump
 Sunneva Gunnarsdóttir   | Female      |   1.63 |   7.83 | Triple Jump
 Geir Rúnarsson          | Male        |   1.78 |   5.85 | Long Jump
 Björn Benediktsson      | Male        |   1.84 |   4.53 | Long Jump
 Ása Friðgeirsdóttir     | Female      |   1.77 |   1.22 | High Jump
 Friðgeir Gunnarsson     | Male        |   1.78 |   8.52 | 100 m dash
 Gréta Huldudóttir       | Female      |   1.76 |  12.06 | Triple Jump
 Jóna Benediktsdóttir    | Female      |   1.62 |   1.74 | High Jump
 Gunnar Benediktsson     | Male        |   1.83 |  10.15 | Triple Jump
 Lovísa Helgudóttir      | Female      |   1.64 |   4.38 | Long Jump
 Angela Friðgeirsdóttir  | Female      |   1.68 |   5.52 | Long Jump
 Kristján Gunnarsson     | Male        |   1.81 |   6.11 | 100 m dash
 Angela Friðgeirsdóttir  | Female      |   1.68 |  10.96 | Shot Put
 Geir Kristjánsson       | Male        |   1.73 |  10.17 | 100 m dash
 Gréta Friðgeirsdóttir   | Female      |   1.64 |   9.93 | Triple Jump
 Geir Kristjánsson       | Male        |   1.73 |   4.55 | Long Jump
 Ármann Rúnarsson        | Male        |   1.78 |  16.37 | Shot Put
 Kristján Ármannsson     | Male        |   1.89 |  12.34 | Triple Jump
 Ármann Geirsson         | Male        |   1.77 |  16.37 | Shot Put
 Angela Gunnarsdóttir    | Female      |   1.72 |   8.84 | Shot Put
 Eva Geirsdóttir         | Female      |   1.61 |   4.64 | Long Jump
 Jóna Björnsdóttir       | Female      |   1.69 |   1.57 | High Jump
 Geir Jónsson            | Male        |   1.75 |  13.73 | Shot Put
 Björn Rúnarsson         | Male        |   1.88 |   6.97 | 100 m dash
 Kristján Ármannsson     | Male        |   1.89 |   1.98 | High Jump
 Ása Evudóttir           | Female      |   1.73 |   6.17 | Long Jump
 Elva Rúnarsdóttir       | Female      |   1.67 |   9.02 | Triple Jump
 Benedikt Benediktsson   | Male        |   1.81 |   6.52 | Long Jump
 Geir Rúnarsson          | Male        |   1.78 |   1.09 | High Jump
 Benedikt Helguson       | Male        |   1.88 |    8.5 | 100 m dash
 Sunneva Björnsdóttir    | Female      |   1.61 |   1.43 | High Jump
 Elva Rúnarsdóttir       | Female      |   1.67 |    9.1 | 100 m dash
 Ármann Ármannsson       | Male        |   1.77 |   8.45 | Triple Jump
 Helga Elvudóttir        | Female      |   1.68 |   9.79 | 100 m dash
 Sunneva Benediktsdóttir | Female      |   1.66 |    6.7 | Long Jump
 Gréta Kristjánsdóttir   | Female      |   1.79 |  16.56 | Shot Put
 Gréta Friðgeirsdóttir   | Female      |   1.64 |   6.21 | Long Jump
 Gunnar Benediktsson     | Male        |   1.89 |   9.05 | Triple Jump
 Björgvin Jónsson        | Male        |   1.86 |    4.5 | Long Jump
 Geir Gunnarsson         | Male        |   1.83 |   5.28 | 100 m dash
 Sunneva Björgvinsdóttir | Female      |   1.72 |   8.74 | 100 m dash
 Sunneva Björnsdóttir    | Female      |   1.71 |  10.31 | Triple Jump
 Geir Kristjánsson       | Male        |   1.73 |   15.6 | Shot Put
 Björgvin Ármannsson     | Male        |   1.72 |    7.3 | 100 m dash
 Geir Jónsson            | Male        |   1.75 |   6.13 | Long Jump
 Jón Sunnevuson          | Male        |   1.78 |   5.08 | Long Jump
 Ármann Gunnarsson       | Male        |   1.88 |   6.58 | 100 m dash
 Benedikt Helguson       | Male        |   1.88 |   1.17 | High Jump
 Sunneva Friðgeirsdóttir | Female      |   1.72 |  15.92 | Shot Put
 Rúnar Geirsson          | Male        |   1.71 |   8.01 | 100 m dash
 Eva Gunnarsdóttir       | Female      |   1.61 |   5.78 | Long Jump
 Eva Benediktsdóttir     | Female      |   1.66 |  14.79 | Shot Put
 Lovísa Helgudóttir      | Female      |   1.64 |  10.32 | Triple Jump
 Sunneva Friðgeirsdóttir | Female      |   1.72 |  10.05 | Shot Put
 Gunnar Jónsson          | Male        |   1.81 |   9.03 | Shot Put
 Ármann Gunnarsson       | Male        |   1.88 |      7 | 100 m dash
 Jóna Jónsdóttir         | Female      |   1.72 |  10.06 | Shot Put
 Gréta Jónsdóttir        | Female      |   1.73 |   1.38 | High Jump
 Lovísa Sunnevudóttir    | Female      |   1.73 |  12.96 | Triple Jump
 Björgvin Björnsson      | Male        |   1.82 |   5.17 | Long Jump
 Jóna Björgvinsdóttir    | Female      |   1.65 |   1.88 | High Jump
 Sunneva Helgudóttir     | Female      |   1.77 |   1.95 | High Jump
 Ása Evudóttir           | Female      |   1.73 |   5.52 | 100 m dash
 Geir Kristjánsson       | Male        |   1.73 |   9.16 | 100 m dash
 Gréta Elvudóttir        | Female      |   1.76 |   1.07 | High Jump
 Gréta Rúnarsdóttir      | Female      |   1.73 |   1.19 | High Jump
 Hulda Kristjánsdóttir   | Female      |   1.77 |  11.09 | Shot Put
 Björn Friðgeirsson      | Male        |   1.71 |  10.59 | Triple Jump
 Friðgeir Gunnarsson     | Male        |   1.87 |  15.46 | Shot Put
 Kristján Ármannsson     | Male        |   1.89 |   11.6 | Triple Jump
 Rúnar Björnsson         | Male        |   1.71 |   9.08 | Shot Put
 Hulda Björgvinsdóttir   | Female      |   1.72 |  12.92 | Triple Jump
 Jóna Jónsdóttir         | Female      |   1.72 |   1.84 | High Jump
 Lovísa Helgudóttir      | Female      |   1.64 |   7.71 | 100 m dash
 Ása Evudóttir           | Female      |   1.65 |   6.04 | Long Jump
 Sunneva Björnsdóttir    | Female      |   1.71 |   7.38 | 100 m dash
 Eva Björgvinsdóttir     | Female      |   1.79 |   9.85 | 100 m dash
 Björn Lovísuson         | Male        |   1.85 |   9.46 | 100 m dash
 Björn Friðgeirsson      | Male        |   1.71 |   6.29 | Long Jump
 Jón Sunnevuson          | Male        |   1.78 |    1.7 | High Jump
 Ása Björgvinsdóttir     | Female      |   1.71 |  11.41 | Triple Jump
 Rúnar Geirsson          | Male        |   1.71 |   9.56 | Shot Put
 Jón Rúnarsson           | Male        |   1.75 |   7.39 | Triple Jump
 Björgvin Friðgeirsson   | Male        |   1.75 |   7.23 | 100 m dash
 Elva Rúnarsdóttir       | Female      |   1.67 |   9.58 | Shot Put
 Geir Grétuson           | Male        |   1.88 |   4.88 | Long Jump
 Björn Angeluson         | Male        |   1.84 |   2.07 | High Jump
 Gunnar Benediktsson     | Male        |   1.89 |   6.75 | Triple Jump
 Helga Friðgeirsdóttir   | Female      |    1.6 |  11.82 | Shot Put
 Gréta Rúnarsdóttir      | Female      |   1.73 |   1.13 | High Jump
 Sunneva Gunnarsdóttir   | Female      |   1.63 |   6.16 | 100 m dash
 Sunneva Geirsdóttir     | Female      |   1.66 |  14.99 | Shot Put
 Helga Björnsdóttir      | Female      |   1.63 |   7.24 | 100 m dash
 Gréta Elvudóttir        | Female      |   1.76 |   4.31 | Long Jump
 Gunnar Ármannsson       | Male        |   1.85 |  11.01 | Shot Put
 Hulda Kristjánsdóttir   | Female      |   1.79 |   1.63 | High Jump
 Ása Geirsdóttir         | Female      |   1.71 |    6.9 | 100 m dash
 Geir Grétuson           | Male        |   1.88 |   5.52 | Long Jump
 Kristján Gunnarsson     | Male        |   1.81 |   9.53 | Triple Jump
 Björn Rúnarsson         | Male        |   1.81 |  10.48 | Triple Jump
 Björn Geirsson          | Male        |   1.71 |  12.23 | Triple Jump
 Ármann Geirsson         | Male        |   1.77 |   1.49 | High Jump
 Ármann Geirsson         | Male        |   1.88 |   5.74 | 100 m dash
 Jóna Benediktsdóttir    | Female      |   1.73 |  16.18 | Shot Put
 Gréta Huldudóttir       | Female      |   1.76 |  11.12 | Triple Jump
 Rúnar Geirsson          | Male        |   1.71 |   9.91 | 100 m dash
 Gunnar Jónsson          | Male        |   1.81 |   4.88 | Long Jump
 Rúnar Björgvinsson      | Male        |   1.88 |  10.68 | Triple Jump
 Elva Benediktsdóttir    | Female      |   1.78 |   9.91 | 100 m dash
 Geir Hulduson           | Male        |   1.87 |   5.51 | Long Jump
 Rúnar Geirsson          | Male        |   1.71 |   1.38 | High Jump
 Gunnar Jónsson          | Male        |   1.87 |   6.11 | 100 m dash
 Björn Rúnarsson         | Male        |   1.88 |   7.88 | 100 m dash
 Ása Jónsdóttir          | Female      |    1.7 |   9.41 | Triple Jump
 Jóna Geirsdóttir        | Female      |   1.71 |   5.96 | Long Jump
 Angela Rúnarsdóttir     | Female      |   1.71 |   2.04 | High Jump
