 query 
-------
     1
(1 row)

 count 
-------
    94
(1 row)

 query 
-------
     2
(1 row)

 id  |         name         
 170 | Helga Björgvinsdóttir
 172 | Angela Jónsdóttir
 173 | Ármann Kristjánsson
 177 | Geir Ármannsson
 178 | Sunneva Friðgeirsdóttir
 183 | Björn Ármannsson
 184 | Eva Kristjánsdóttir
 185 | Friðgeir Rúnarsson
 188 | Gréta Grétudóttir
 189 | Friðgeir Lovísuson
 190 | Eva Grétudóttir
 192 | Jóna Geirsdóttir
 193 | Geir Ármannsson
 197 | Kristján Benediktsson
 201 | Geir Jónsson
 203 | Geir Friðgeirsson
 207 | Kristján Ármannsson
 209 | Rúnar Gunnarsson
 214 | Eva Geirsdóttir
 216 | Gréta Gunnarsdóttir
 217 | Jón Ármannsson
 225 | Ármann Geirsson
 228 | Elva Geirsdóttir
 232 | Sunneva Benediktsdóttir
 234 | Ása Ármannsdóttir
 241 | Friðgeir Björnsson
 249 | Kristján Ármannsson
 252 | Helga Ármannsdóttir
(145 rows)

 query 
-------
     4
(1 row)

 id  |     name      
-----+---------------
 119 | Geir Geirsson
(1 row)

 query 
-------
     5
(1 row)

 id |    name     | maxres 
----+-------------+--------
  6 | Discus      |  25.20
  2 | Triple Jump |  13.15
  4 | Pole Vault  |   5.52
  1 | Long Jump   |   6.78
  0 | High Jump   |   2.11
  3 | Shot Put    |  16.66
  5 | Javelin     |  60.46
(7 rows)

 query 
-------
     6
(1 row)

 id  |        name        | count 
-----+--------------------+-------
  25 | Geir Jónsson       |    22
 126 | Gréta Björnsdóttir |     2
  17 | Rúnar Björnsson    |     3
   2 | Eva Rúnarsdóttir   |     2
(4 rows)

 query 
-------
     7
(1 row)

 id  |          name          | height | result |    name     | record 
-----+------------------------+--------+--------+-------------+--------
  18 | Gréta Benediktsdóttir  |   1.74 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |   5.52 | Pole Vault  | yes
  16 | Ása Lovísudóttir       |   1.79 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |   5.52 | Pole Vault  | yes
 196 | Sunneva Rúnarsdóttir   |   1.68 |  13.15 | Triple Jump | yes
 126 | Gréta Björnsdóttir     |   1.78 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |  16.66 | Shot Put    | yes
   0 | Gréta Geirsdóttir      |   1.74 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |   2.11 | High Jump   | yes
  25 | Geir Jónsson           |   1.85 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |  13.15 | Triple Jump | yes
  25 | Geir Jónsson           |   1.85 |  16.66 | Shot Put    | yes
  25 | Geir Jónsson           |   1.85 |   5.52 | Pole Vault  | yes
  25 | Geir Jónsson           |   1.85 |  60.46 | Javelin     | yes
 221 | Benedikt Ármannsson    |   1.73 |   25.2 | Discus      | no
 119 | Geir Geirsson          |   1.89 |   6.78 | Long Jump   | yes
   2 | Eva Rúnarsdóttir       |   1.68 |   2.11 | High Jump   | yes
   1 | Jón Björgvinsson       |   1.83 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |   6.78 | Long Jump   | yes
 126 | Gréta Björnsdóttir     |   1.78 |   6.78 | Long Jump   | yes
 154 | Ása Björnsdóttir       |   1.67 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |   5.52 | Pole Vault  | yes
  25 | Geir Jónsson           |   1.85 |  16.66 | Shot Put    | yes
  64 | Hulda Jónsdóttir       |   1.65 |  13.15 | Triple Jump | yes
  17 | Rúnar Björnsson        |   1.86 |   6.78 | Long Jump   | yes
  11 | Friðgeir Kristjánsson  |   1.84 |   2.11 | High Jump   | yes
  25 | Geir Jónsson           |   1.85 |   5.52 | Pole Vault  | yes
  85 | Friðgeir Ármannsson    |   1.75 |   6.78 | Long Jump   | yes
 106 | Elva Jónudóttir        |   1.66 |   6.78 | Long Jump   | yes
 164 | Angela Björnsdóttir    |   1.72 |   2.11 | High Jump   | yes
 169 | Benedikt Friðgeirsson  |   1.73 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |  16.66 | Shot Put    | yes
  67 | Geir Kristjánsson      |   1.87 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |   2.11 | High Jump   | yes
  41 | Gunnar Geirsson        |   1.81 |   6.78 | Long Jump   | yes
  98 | Hulda Friðgeirsdóttir  |   1.73 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |  13.15 | Triple Jump | yes
  80 | Jóna Friðgeirsdóttir   |   1.63 |   6.78 | Long Jump   | yes
  29 | Rúnar Benediktsson     |   1.88 |   2.11 | High Jump   | yes
 182 | Gréta Lovísudóttir     |   1.73 |   6.78 | Long Jump   | yes
   3 | Benedikt Evuson        |   1.83 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |  13.15 | Triple Jump | yes
  19 | Björn Kristjánsson     |   1.77 |   6.78 | Long Jump   | yes
 166 | Hulda Elvudóttir       |   1.67 |   6.78 | Long Jump   | yes
 103 | Rúnar Gunnarsson       |   1.89 |   2.11 | High Jump   | yes
  25 | Geir Jónsson           |   1.85 |   6.78 | Long Jump   | yes
 128 | Helga Björgvinsdóttir  |   1.68 |   6.78 | Long Jump   | yes
  24 | Elva Kristjánsdóttir   |   1.61 |   2.11 | High Jump   | yes
 225 | Ármann Geirsson        |   1.87 |   2.11 | High Jump   | yes
  25 | Geir Jónsson           |   1.85 |   6.78 | Long Jump   | yes
  17 | Rúnar Björnsson        |   1.86 |   6.78 | Long Jump   | yes
   2 | Eva Rúnarsdóttir       |   1.68 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |   2.11 | High Jump   | yes
 116 | Angela Friðgeirsdóttir |   1.71 |   6.78 | Long Jump   | yes
  25 | Geir Jónsson           |   1.85 |  13.15 | Triple Jump | yes
  53 | Gunnar Angeluson       |   1.79 |   6.78 | Long Jump   | yes
  17 | Rúnar Björnsson        |   1.86 |   5.52 | Pole Vault  | yes
  25 | Geir Jónsson           |   1.85 |   2.11 | High Jump   | yes
 150 | Elva Björgvinsdóttir   |   1.63 |   6.78 | Long Jump   | yes
(59 rows)

 query 
-------
     8
(1 row)

 count 
-------
   202
(1 row)

 querry 
--------
      9
(1 row)

 id | name | gender | height 
----+------+--------+--------
(0 rows)

 querry 
--------
     10
(1 row)

 id |    name     | record | min  
----+-------------+--------+------
  0 | High Jump   |   2.11 | 1.06
  1 | Long Jump   |   6.78 | 3.39
  2 | Triple Jump |  13.15 | 6.58
  3 | Shot Put    |  16.66 | 8.33
  4 | Pole Vault  |   5.52 | 2.76
(5 rows)

